response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0058,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0814
0.0058,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0814
0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0815
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0815
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0805
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.0815
0.0057,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0814
0.0058,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0814
0.0058,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0813
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0804
0.0058,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0814
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0805
0.0057,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0815
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0804
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0814
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0805
0.0058,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0814
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0804
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0814
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0812
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0805
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0805
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0814
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0814
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0805
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.0907
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0905
0.0049,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0907
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0906
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0906
0.0049,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0907
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0907
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0905
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0903
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0906
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0905
0.0052,0.0000,0.0000,0.0000,0.0051,0.0001,200,0.0905
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0907
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0907
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0904
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0904
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0904
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0905
0.0050,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0907
0.0051,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0906
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0904
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0907
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0907
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0905
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0904
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0904
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0905
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0906
0.0052,0.0000,0.0000,0.0000,0.0051,0.0001,200,0.0906
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0905
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0906
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0904
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0904
0.0055,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0904
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0906
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0906
0.0053,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0906
0.0055,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0904
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0906
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0905
0.0032,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.1006
0.0092,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1005
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.1006
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.1006
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.1007
0.0090,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.1007
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1005
0.0092,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1005
